Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,May 7 - May 12,05/12/2020,25.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,May 7 - May 12,05/12/2020,34.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,May 7 - May 12,05/12/2020,33.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,May 7 - May 12,05/12/2020,31.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,May 7 - May 12,05/12/2020,24.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,May 7 - May 12,05/12/2020,40
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,May 7 - May 12,05/12/2020,34.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,May 7 - May 12,05/12/2020,41.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,May 7 - May 12,05/12/2020,34.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,May 7 - May 12,05/12/2020,29
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,May 7 - May 12,05/12/2020,33.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,May 7 - May 12,05/12/2020,33.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,May 7 - May 12,05/12/2020,32.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,May 7 - May 12,05/12/2020,30.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,May 7 - May 12,05/12/2020,40.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,May 7 - May 12,05/12/2020,28.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,May 7 - May 12,05/12/2020,36.7
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,May 7 - May 12,05/12/2020,33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,May 7 - May 12,05/12/2020,38
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,May 7 - May 12,05/12/2020,36.2
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,May 7 - May 12,05/12/2020,34.7
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,May 7 - May 12,05/12/2020,32.3
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,May 7 - May 12,05/12/2020,30.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,May 7 - May 12,05/12/2020,33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,May 7 - May 12,05/12/2020,29.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,May 7 - May 12,05/12/2020,40
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,May 7 - May 12,05/12/2020,30.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,May 7 - May 12,05/12/2020,31.4
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,South Carolina,May 7 - May 12,05/12/2020,34.3
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,South Dakota,May 7 - May 12,05/12/2020,28.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,Tennessee,May 7 - May 12,05/12/2020,36.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,Texas,May 7 - May 12,05/12/2020,29.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,Utah,May 7 - May 12,05/12/2020,24.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,Vermont,May 7 - May 12,05/12/2020,32
